시군구,번지,단지명,전용면적,거래금액
경기도 부천시 상동,528-1,라일락마을(대우유림),84.9196,"70,000"
경기도 부천시 상동,528-1,라일락마을(대우유림),84.9854,"66,000"
경기도 부천시 상동,528-1,라일락마을(대우유림),84.9854,"69,900"
경기도 부천시 상동,528-1,라일락마을(대우유림),84.9196,"69,000"
경기도 부천시 상동,528-1,라일락마을(대우유림),84.9854,"69,000"
경기도 부천시 상동,528-1,라일락마을(대우유림),84.9196,"77,600"
경기도 부천시 상동,528-1,라일락마을(대우유림),84.9196,"79,300"
경기도 부천시 상동,525-6,라일락마을(동양),84.9874,"77,000"
경기도 부천시 상동,528-3,라일락마을(서해),127.738,"83,000"
경기도 부천시 상동,528-3,라일락마을(서해),127.738,"92,000"
경기도 부천시 상동,528-3,라일락마을(서해),127.738,"100,000"
경기도 부천시 상동,528-3,라일락마을(서해),127.738,"95,000"
경기도 부천시 상동,528-3,라일락마을(서해),127.738,"107,500"
경기도 부천시 상동,528-3,라일락마을(서해),112.155,"87,000"
경기도 부천시 상동,528-3,라일락마을(서해),127.738,"96,000"
경기도 부천시 상동,528-3,라일락마을(서해),127.738,"85,600"
경기도 부천시 상동,525-3,라일락마을(신성미소지움),59.881,"53,600"
경기도 부천시 상동,525-3,라일락마을(신성미소지움),59.962,"59,800"
경기도 부천시 상동,525-3,라일락마을(신성미소지움),59.962,"53,000"
경기도 부천시 상동,525-3,라일락마을(신성미소지움),59.962,"65,000"
경기도 부천시 상동,525-3,라일락마을(신성미소지움),59.881,"62,100"
경기도 부천시 상동,525-3,라일락마을(신성미소지움),59.881,"50,000"
경기도 부천시 상동,525-3,라일락마을(신성미소지움),59.962,"52,800"
